#Elapsed Time (secs),Bytes Received,Requests Serviced, Requests Failed, Comment
   0.00298,          0,          0,          1, /courses/ud923/filecorpus/1kb-sample-file-3.jpg
   0.00319,       2050,          0,          1, (null)
   0.00322,       4100,          0,          1, (null)
   0.00328,       6150,          0,          1, (null)
   0.00333,       8200,          0,          1, (null)
   0.00336,       8200,          0,          2, /courses/ud923/filecorpus/1kb-sample-file-1.html
   0.00344,      10250,          0,          2, (null)
   0.00346,      12300,          0,          2, (null)
   0.00350,      14350,          0,          2, (null)
   0.00353,      14350,          0,          3, /courses/ud923/filecorpus/1kb-sample-file-4.png
   0.00359,      14350,          0,          4, /courses/ud923/filecorpus/1kb-sample-file-2.png
   0.00367,      16400,          0,          4, (null)
   0.00373,      18450,          0,          4, (null)
   0.00378,      20500,          0,          4, (null)
   0.00386,      22550,          0,          4, (null)
   0.00394,      24600,          0,          4, (null)
   0.00405,      26650,          0,          4, (null)
   0.00413,      28700,          0,          4, (null)
   0.00418,      30750,          0,          4, (null)
   0.00423,      32800,          0,          4, (null)
   0.00482,      36896,          0,          4, (null)
   0.00484,      40992,          0,          4, (null)
   0.00487,      45088,          0,          4, (null)
   0.00490,      49184,          0,          4, (null)
   0.00493,      53280,          0,          4, (null)
   0.00495,      57376,          0,          4, (null)
   0.00499,      61472,          0,          4, (null)
   0.00503,      65568,          0,          4, (null)
   0.00508,      65600,          0,          4, (null)
   0.00510,      69696,          0,          4, (null)
   0.00513,      73792,          0,          4, (null)
   0.00515,      75850,          0,          4, (null)
   0.00519,      77900,          0,          4, (null)
   0.00522,      79950,          0,          4, (null)
   0.00595,      84046,          0,          4, (null)
   0.00599,      88142,          0,          4, (null)
   0.00604,      92238,          0,          4, (null)
   0.00609,      96334,          0,          4, (null)
   0.00612,     100430,          0,          4, (null)
   0.00618,     104526,          0,          4, (null)
   0.00624,     108622,          0,          4, (null)
   0.00629,     112718,          0,          4, (null)
   0.00635,     112750,          0,          4, (null)
   0.00638,     116846,          0,          4, (null)
   0.00643,     120942,          0,          4, (null)
   0.00646,     123000,          0,          4, (null)
   0.00650,     127096,          0,          4, (null)
   0.00653,     129150,          0,          4, (null)
   0.00656,     131200,          0,          4, (null)
   0.00658,     133250,          0,          4, (null)
   0.00724,     137346,          0,          4, (null)
   0.00728,     141442,          0,          4, (null)
   0.00730,     145538,          0,          4, (null)
   0.00733,     149634,          0,          4, (null)
   0.00736,     153730,          0,          4, (null)
   0.00739,     157826,          0,          4, (null)
   0.00742,     161922,          0,          4, (null)
   0.00745,     166018,          0,          4, (null)
   0.00749,     166050,          0,          4, (null)
   0.00751,     170146,          0,          4, (null)
   0.00753,     174242,          0,          4, (null)
   0.00756,     178338,          0,          4, (null)
   0.00760,     178350,          0,          4, (null)
   0.00762,     182446,          0,          4, (null)
   0.00765,     184500,          0,          4, (null)
   0.00767,     186550,          0,          4, (null)
   0.00770,     188600,          0,          4, (null)
   0.00850,     192696,          0,          4, (null)
   0.00854,     196792,          0,          4, (null)
   0.00857,     200888,          0,          4, (null)
   0.00860,     204984,          0,          4, (null)
   0.00867,     209080,          0,          4, (null)
   0.00870,     213176,          0,          4, (null)
   0.00873,     217272,          0,          4, (null)
   0.00909,     221368,          0,          4, (null)
   0.00914,     221400,          0,          4, (null)
   0.00918,     225496,          0,          4, (null)
   0.00926,     229592,          0,          4, (null)
   0.00931,     233174,          0,          4, (null)
   0.01008,     237251,          0,          4, (null)
   0.01012,     241347,          0,          4, (null)
   0.01016,     243424,          0,          4, (null)
   0.01020,     245474,          0,          4, (null)
   0.01024,     247524,          0,          4, (null)
   0.01037,     249574,          0,          4, (null)
   0.01043,     251624,          0,          4, (null)
   0.01051,     253674,          0,          4, (null)
   0.01056,     255724,          0,          4, (null)
   0.01062,     257774,          0,          4, (null)
   0.01067,     259824,          0,          4, (null)
   0.01077,     261874,          0,          4, (null)
   0.01083,     263924,          0,          4, (null)
   0.01091,     265974,          0,          4, (null)
   0.01166,     270070,          0,          4, (null)
   0.01170,     274166,          0,          4, (null)
   0.01175,     278262,          0,          4, (null)
   0.01179,     282358,          0,          4, (null)
   0.01182,     286454,          0,          4, (null)
   0.01186,     290550,          0,          4, (null)
   0.01189,     294646,          0,          4, (null)
   0.01193,     298742,          0,          4, (null)
   0.01197,     298774,          0,          4, (null)
   0.01201,     302870,          0,          4, (null)
   0.01208,     306966,          0,          4, (null)
   0.01212,     311062,          0,          4, (null)
   0.01215,     315158,          0,          4, (null)
   0.01219,     315174,          0,          4, (null)
   0.01223,     319270,          0,          4, (null)
   0.01226,     323366,          0,          4, (null)
   0.01231,     327462,          0,          4, (null)
   0.01235,     327474,          0,          4, (null)
   0.01239,     331570,          0,          4, (null)
   0.01242,     335666,          0,          4, (null)
   0.01246,     335674,          0,          4, (null)
   0.01250,     339770,          0,          4, (null)
   0.01254,     341824,          0,          4, (null)
   0.01258,     345920,          0,          4, (null)
   0.01261,     345924,          0,          4, (null)
   0.01265,     350020,          0,          4, (null)
   0.01268,     350024,          0,          4, (null)
   0.01376,     350024,          1,          4, /courses/ud923/filecorpus/paraglider.jpg
   0.05767,     354120,          1,          4, (null)
   0.05777,     358216,          1,          4, (null)
   0.05781,     362312,          1,          4, (null)
   0.05785,     366408,          1,          4, (null)
   0.05789,     370504,          1,          4, (null)
   0.05793,     371351,          1,          4, (null)
   0.05870,     375428,          1,          4, (null)
   0.05875,     377501,          1,          4, (null)
   0.05882,     379551,          1,          4, (null)
   0.05886,     381601,          1,          4, (null)
   0.05891,     383651,          1,          4, (null)
   0.05896,     385701,          1,          4, (null)
   0.05901,     387751,          1,          4, (null)
   0.05906,     389801,          1,          4, (null)
   0.05911,     391851,          1,          4, (null)
   0.05916,     393901,          1,          4, (null)
   0.05920,     395951,          1,          4, (null)
   0.05926,     400047,          1,          4, (null)
   0.05933,     402101,          1,          4, (null)
   0.05937,     402101,          2,          4, /courses/ud923/filecorpus/road.jpg
   0.06010,     406197,          2,          4, (null)
   0.06015,     410293,          2,          4, (null)
   0.06019,     414389,          2,          4, (null)
   0.06021,     418485,          2,          4, (null)
   0.06024,     422581,          2,          4, (null)
   0.06032,     426677,          2,          4, (null)
   0.06038,     430773,          2,          4, (null)
   0.06041,     434869,          2,          4, (null)
   0.06046,     434901,          2,          4, (null)
   0.06050,     438997,          2,          4, (null)
   0.06054,     443093,          2,          4, (null)
   0.06058,     445151,          2,          4, (null)
   0.06061,     449247,          2,          4, (null)
   0.06065,     451301,          2,          4, (null)
   0.06068,     455397,          2,          4, (null)
   0.06072,     455401,          2,          4, (null)
   0.06075,     459497,          2,          4, (null)
   0.06078,     459501,          2,          4, (null)
   0.10648,     463597,          2,          4, (null)
   0.10659,     467693,          2,          4, (null)
   0.10664,     471789,          2,          4, (null)
   0.10668,     475595,          2,          4, (null)
   0.10761,     479672,          2,          4, (null)
   0.10765,     481745,          2,          4, (null)
   0.10769,     483795,          2,          4, (null)
   0.10773,     485845,          2,          4, (null)
   0.10776,     487895,          2,          4, (null)
   0.10780,     489945,          2,          4, (null)
   0.10784,     491995,          2,          4, (null)
   0.10788,     494045,          2,          4, (null)
   0.10791,     494045,          3,          4, /courses/ud923/filecorpus/yellowstone.jpg
   0.10797,     496095,          3,          4, (null)
   0.10800,     498145,          3,          4, (null)
   0.10804,     500195,          3,          4, (null)
   0.10811,     502245,          3,          4, (null)
   0.10815,     504295,          3,          4, (null)
   0.10824,     506345,          3,          4, (null)
   0.10833,     508395,          3,          4, (null)
   0.10916,     512491,          3,          4, (null)
   0.10920,     516587,          3,          4, (null)
   0.10923,     520683,          3,          4, (null)
   0.10926,     524779,          3,          4, (null)
   0.10930,     528875,          3,          4, (null)
   0.10933,     532971,          3,          4, (null)
   0.10937,     537067,          3,          4, (null)
   0.10940,     541163,          3,          4, (null)
   0.10944,     541195,          3,          4, (null)
